id,position,multiplier,is_captain,is_vice_captain
19,6,1,False,False
160,7,1,False,False
374,8,1,False,False
427,9,1,False,True
318,10,2,True,False
28,11,1,False,False
238,12,0,False,False
39,13,0,False,False
111,14,0,False,False
78,15,0,False,False
307,1,1,False,False
10,2,1,False,False
306,3,1,False,False
39,4,1,False,False
261,5,1,False,False
19,6,1,False,False
374,7,1,False,False
111,8,1,False,False
427,9,1,False,True
318,10,2,True,False
28,11,1,False,False
238,12,0,False,False
367,13,0,False,False
160,14,0,False,False
78,15,0,False,False
307,1,1,False,False
445,2,1,False,False
10,3,1,False,False
306,4,1,False,False
111,5,1,False,False
261,6,1,False,False
19,7,1,False,False
160,8,1,False,False
28,9,1,False,False
427,10,1,False,True
318,11,2,True,False
238,12,0,False,False
374,13,0,False,False
39,14,0,False,False
78,15,0,False,False
307,1,1,False,False
445,2,1,False,False
10,3,1,False,False
306,4,1,False,False
111,5,1,False,False
335,6,1,False,False
19,7,1,False,False
446,8,1,False,False
28,9,1,False,False
427,10,2,True,False
318,11,1,False,True
238,12,0,False,False
374,13,0,False,False
39,14,0,False,False
78,15,0,False,False
307,1,1,False,False
445,2,1,False,False
10,3,1,False,False
306,4,1,False,False
111,5,1,False,False
335,6,1,False,False
19,7,1,False,False
446,8,1,False,False
28,9,1,False,False
427,10,1,False,True
318,11,2,True,False
238,12,0,False,False
233,13,0,False,False
39,14,0,False,False
78,15,0,False,False
307,1,1,False,False
445,2,1,False,False
484,3,1,False,False
306,4,1,False,False
111,5,1,False,False
335,6,1,False,False
19,7,1,False,False
446,8,1,False,False
28,9,1,False,False
427,10,1,False,True
318,11,2,True,False
238,12,0,False,False
233,13,0,False,False
10,14,0,False,False
39,15,0,False,False
307,1,1,False,False
445,2,1,False,False
484,3,1,False,False
306,4,1,False,False
111,5,1,False,False
335,6,1,False,False
19,7,1,False,False
446,8,1,False,False
28,9,1,False,False
427,10,1,False,True
318,11,2,True,False
238,12,0,False,False
233,13,0,False,False
10,14,0,False,False
39,15,0,False,False
307,1,1,False,False
357,2,1,False,False
306,3,1,False,False
10,4,1,False,False
39,5,1,False,False
468,6,1,False,False
19,7,1,False,False
446,8,1,False,False
28,9,1,False,False
427,10,2,True,False
318,11,1,False,True
238,12,0,False,False
445,13,0,False,False
335,14,0,False,False
111,15,0,False,False
307,1,1,False,False
357,2,1,False,False
306,3,1,False,False
39,4,1,False,False
468,5,1,False,False
111,6,1,False,False
19,7,1,False,False
160,8,1,False,False
28,9,1,False,False
427,10,1,False,True
318,11,2,True,False
238,12,0,False,False
10,13,0,False,False
335,14,0,False,False
445,15,0,False,False
327,1,1,False,False
299,2,1,False,False
448,3,1,False,False
146,4,1,False,False
19,5,1,False,False
335,6,1,False,False
293,7,1,False,False
261,8,1,False,False
318,9,2,True,False
297,10,1,False,False
28,11,1,False,True
254,12,1,False,False
10,13,1,False,False
29,14,1,False,False
475,15,1,False,False
327,1,1,False,False
299,2,1,False,False
280,3,1,False,False
146,4,1,False,False
19,5,1,False,False
261,6,1,False,False
293,7,1,False,False
29,8,1,False,False
318,9,2,True,False
297,10,1,False,True
28,11,1,False,False
254,12,0,False,False
335,13,0,False,False
10,14,0,False,False
475,15,0,False,False
254,1,1,False,False
299,2,1,False,False
280,3,1,False,False
146,4,1,False,False
10,5,1,False,False
19,6,1,False,False
261,7,1,False,False
293,8,1,False,False
80,9,1,False,True
318,10,2,True,False
28,11,1,False,False
327,12,0,False,False
335,13,0,False,False
475,14,0,False,False
29,15,0,False,False
327,1,1,False,False
280,2,1,False,False
10,3,1,False,False
146,4,1,False,False
225,5,1,False,False
19,6,1,False,False
335,7,1,False,False
293,8,1,False,False
80,9,1,False,False
318,10,2,True,False
28,11,1,False,True
254,12,0,False,False
299,13,0,False,False
261,14,0,False,False
475,15,0,False,False
327,1,1,False,False
299,2,1,False,False
280,3,1,False,False
10,4,1,False,False
225,5,1,False,False
335,6,1,False,False
19,7,1,False,False
293,8,1,False,False
80,9,1,False,False
28,10,1,False,True
318,11,2,True,False
254,12,0,False,False
146,13,0,False,False
261,14,0,False,False
475,15,0,False,False
254,1,1,False,False
280,2,1,False,False
299,3,1,False,False
146,4,1,False,False
369,5,1,False,False
261,6,1,False,False
335,7,1,False,False
293,8,1,False,False
80,9,1,False,False
318,10,1,False,True
427,11,2,True,False
327,12,0,False,False
19,13,0,False,False
10,14,0,False,False
475,15,0,False,False
327,1,1,False,False
280,2,1,False,False
10,3,1,False,False
146,4,1,False,False
19,5,1,False,False
261,6,1,False,False
369,7,1,False,False
293,8,1,False,False
80,9,1,False,False
318,10,2,True,False
427,11,1,False,True
254,12,0,False,False
335,13,0,False,False
299,14,0,False,False
475,15,0,False,False
307,1,1,False,False
33,2,1,False,False
445,3,1,False,False
306,4,1,False,False
428,5,1,False,False
19,6,1,False,False
29,7,1,False,False
603,8,1,False,False
210,9,1,False,False
