id,position,multiplier,is_captain,is_vice_captain,is_substitute
285,2,1,False,False,False
306,3,1,False,False,False
299,4,1,False,False,False
112,5,1,False,False,False
295,6,1,False,False,False
283,7,1,False,True,False
293,8,1,False,False,False
104,9,1,False,False,False
28,10,1,False,False,False
318,11,2,True,False,False
254,12,0,False,False,True
19,13,0,False,False,True
346,14,0,False,False,True
219,15,0,False,False,True
398,1,1,False,False,False
26,2,1,False,False,False
146,3,1,False,False,False
357,4,1,False,False,False
306,5,1,False,False,False
314,6,1,False,False,False
283,7,2,True,False,False
7,8,1,False,False,False
293,9,1,False,False,False
28,10,1,False,True,False
318,11,1,False,False,False
254,12,0,False,False,True
346,13,0,False,False,True
504,14,0,False,False,True
237,15,0,False,False,True
281,1,1,False,False,False
306,2,1,False,False,False
280,3,1,False,False,False
475,4,1,False,False,False
3,5,1,False,False,False
314,6,1,False,False,False
104,7,1,False,False,False
294,8,1,False,False,False
28,9,1,False,True,False
318,10,2,True,False,False
427,11,1,False,False,False
15,12,0,False,False,True
112,13,0,False,False,True
233,14,0,False,False,True
357,15,0,False,False,True
254,1,1,False,False,False
306,2,1,False,False,False
285,3,1,False,False,False
295,4,1,False,False,False
357,5,1,False,False,False
19,6,1,False,False,False
293,7,1,False,False,False
283,8,1,False,True,False
318,9,2,True,False,False
28,10,1,False,False,False
80,11,1,False,False,False
15,12,0,False,False,True
346,13,0,False,False,True
88,14,0,False,False,True
595,15,0,False,False,True
81,1,1,False,False,False
306,2,1,False,False,False
477,3,1,False,False,False
357,4,1,False,False,False
314,5,1,False,False,False
13,6,1,False,False,False
283,7,1,False,True,False
19,8,1,False,False,False
80,9,1,False,False,False
318,10,2,True,False,False
28,11,1,False,False,False
254,12,0,False,False,True
595,13,0,False,False,True
108,14,0,False,False,True
365,15,0,False,False,True
281,1,1,False,False,False
280,2,1,False,False,False
306,3,1,False,False,False
26,4,1,False,False,False
295,5,1,False,False,False
293,6,1,False,False,False
19,7,1,False,False,False
314,8,1,False,False,False
28,9,1,False,True,False
427,10,1,False,False,False
